time_lb,Block_Name,Block_Nr,exp_subject_id,rec_session_id,session_nr,Task_Name,Task_Nr,times,Trial_Id,Trial_Nr,variable_name,X_lb,Y_lb,c,difference,timeOffset,timeOffsetDiff,tsDiff,X_el,Y_el,time_el
1636719664268.8606,block_1,1,310735,341035,1,large_grid,3,1636719664358,17,29,XYTC,161,661,0.784007689721697,-29.0,449670.139523695,60.1395236949902,32.97607421875,340.6,696.3499999999999,1636719664269
1636719664301.8364,block_1,1,310735,341035,1,large_grid,3,1636719664374,17,29,XYTC,235,707,0.785982559255918,-12.0,449670.1635795045,60.16357950447127,32.975830078125,346.15,703.75,1636719664301
1636719664334.8123,block_1,1,310735,341035,1,large_grid,3,1636719664421,17,29,XYTC,456,781,0.866967623752246,-26.0,449670.18763531395,60.18763531395234,32.975830078125,344.65,699.3,1636719664335
1636719664367.7883,block_1,1,310735,341035,1,large_grid,3,1636719664445,17,29,XYTC,226,702,0.868231545695991,-17.0,449670.21169112343,60.21169112343341,32.97607421875,350.8,700.85,1636719664367
1636719664400.7642,block_1,1,310735,341035,1,large_grid,3,1636719664483,17,29,XYTC,174,593,0.826540511780765,-22.0,449670.23574693286,60.23574693285627,32.975830078125,344.1,697.1,1636719664401
1636719664439.7402,block_1,1,310735,341035,1,large_grid,3,1636719664521,17,29,XYTC,149,631,0.828169571178248,-21.0,449670.25980274234,60.25980274233734,38.97607421875,338.55,700.0,1636719664439
1636719664472.716,block_1,1,310735,341035,1,large_grid,3,1636719664557,17,29,XYTC,165,682,0.829784359933559,-24.0,449670.2838585518,60.28385855181841,32.975830078125,336.8,707.9000000000001,1636719664473
1636719664505.6921,block_1,1,310735,341035,1,large_grid,3,1636719664587,17,29,XYTC,257,747,1.0,-21.0,449670.3079143613,60.30791436129948,32.97607421875,337.75,701.4000000000001,1636719664505
1636719664538.668,block_1,1,310735,341035,1,large_grid,3,1636719664635,17,29,XYTC,196,674,1.0,-36.0,449670.3319701708,60.33197017078055,32.975830078125,337.5,704.4,1636719664539
1636719664604.644,block_1,1,310735,341035,1,large_grid,3,1636719664693,17,29,XYTC,283,683,0.818216905638118,-28.0,449670.35602598026,60.35602598026162,65.97607421875,345.0,691.2,1636719664605
