Block_Name,Block_Nr,exp_subject_id,rec_session_id,session_nr,Task_Name,Task_Nr,times,Trial_Id,Trial_Nr,variable_name,values,,,,,
block_1,1,298508,326219,1,blink,8,1634647107063,1,1,XYTC,,,,,,
block_1,1,298508,326219,1,blink,8,1634647135778,1,1,XYTC,122.08179473877,231.831036508083,1634647135763,1,,
block_1,1,298508,326219,1,blink,8,1634647135845,1,1,XYTC,171.074724197388,212.791523337364,1634647135796,1,,
block_1,1,298508,326219,1,blink,8,1634647135875,1,1,XYTC,130.267424583435,210.673490166664,1634647135862,1,,
block_1,1,298508,326219,1,blink,8,1634647135928,1,1,XYTC,146.089496612549,227.929213643074,1634647135895,0.948622806034107,,
block_1,1,298508,326219,1,blink,8,1634647135954,1,1,XYTC,150.608439445496,215.649658441544,1634647135932,0.949130044084785,,
block_1,1,298508,326219,1,blink,8,1634647135991,1,1,XYTC,223.241972923279,252.337637543678,1634647135965,0.939256759224617,,
block_1,1,298508,326219,1,blink,8,1634647136023,1,1,XYTC,274.705495834351,237.015303969383,1634647135998,0.939855058135658,,
block_1,1,298508,326219,1,blink,8,1634647136060,1,1,XYTC,670.534180998802,391.476599872112,1634647136031,0.940447553108161,,
block_1,1,298508,326219,1,blink,8,1634647136119,1,1,XYTC,664.150003194809,448.629447352141,1634647136073,1,,
block_1,1,298508,326219,1,blink,8,1634647136167,1,1,XYTC,715.743752717972,477.962483279407,1634647136140,1,,
block_1,1,298508,326219,1,blink,8,1634647136199,1,1,XYTC,736.894538551569,377.595571428537,1634647136174,1,,
block_1,1,298508,326219,1,blink,8,1634647136229,1,1,XYTC,768.344671726227,343.056316673756,1634647136207,1,,
block_1,1,298508,326219,1,blink,8,1634647136258,1,1,XYTC,763.560992181301,384.647890180349,1634647136240,1,,
block_1,1,298508,326219,1,blink,8,1634647136297,1,1,XYTC,691.960699260235,459.856078773737,1634647136273,1,,
block_1,1,298508,326219,1,blink,8,1634647136332,1,1,XYTC,696.616595685482,476.942591741681,1634647136306,1,,
block_1,1,298508,326219,1,blink,8,1634647136354,1,1,XYTC,686.623470783234,399.280024319887,1634647136339,1,,
block_1,1,298508,326219,1,blink,8,1634647136413,1,1,XYTC,739.082838892937,416.613779962063,1634647136384,1,,
block_1,1,298508,326219,1,blink,8,1634647136443,1,1,XYTC,738.926840275526,407.188068330288,1634647136418,1,,
block_1,1,298508,326219,1,blink,8,1634647136472,1,1,XYTC,680.686089992523,377.099449932575,1634647136451,1,,
block_1,1,298508,326219,1,blink,8,1634647136511,1,1,XYTC,769.919916987419,390.411474555731,1634647136484,1,,
block_1,1,298508,326219,1,blink,8,1634647136560,1,1,XYTC,704.75789129734,397.879515588284,1634647136517,1,,
block_1,1,298508,326219,1,blink,8,1634647136608,1,1,XYTC,737.108113467693,387.823833525181,1634647136584,1,,
block_1,1,298508,326219,1,blink,8,1634647136636,1,1,XYTC,758.567019402981,373.480935394764,1634647136617,1,,
block_1,1,298508,326219,1,blink,8,1634647136679,1,1,XYTC,745.811144113541,407.014049962163,1634647136650,1,,
block_1,1,298508,326219,1,blink,8,1634647136721,1,1,XYTC,770.119489431381,377.449230104685,1634647136700,1,,
block_1,1,298508,326219,1,blink,8,1634647136758,1,1,XYTC,717.909505069256,405.641704425216,1634647136733,1,,
block_1,1,298508,326219,1,blink,8,1634647136795,1,1,XYTC,718.347250968218,406.80229626596,1634647136766,1,,
block_1,1,298508,326219,1,blink,8,1634647136813,1,1,XYTC,735.430747121572,408.654244244099,1634647136799,1,,
block_1,1,298508,326219,1,blink,8,1634647136865,1,1,XYTC,761.312938928604,404.149628430605,1634647136832,1,,
block_1,1,298508,326219,1,blink,8,1634647136891,1,1,XYTC,772.780766487122,377.506864070892,1634647136869,1,,
block_1,1,298508,326219,1,blink,8,1634647136955,1,1,XYTC,800.21865427494,464.275531098247,1634647136903,1,,
block_1,1,298508,326219,1,blink,8,1634647136987,1,1,XYTC,757.824414968491,451.960523799062,1634647136969,1,,
block_1,1,298508,326219,1,blink,8,1634647137030,1,1,XYTC,799.591162204743,372.02550843358,1634647137002,0.992676040875491,,
block_1,1,298508,326219,1,blink,8,1634647137065,1,1,XYTC,781.122978329659,430.201264098287,1634647137035,0.992749147704372,,
block_1,1,298508,326219,1,blink,8,1634647137095,1,1,XYTC,756.078546345234,426.588315144181,1634647137069,1,,
block_1,1,298508,326219,1,blink,8,1634647137122,1,1,XYTC,738.769229650498,470.781785622239,1634647137102,1,,
block_1,1,298508,326219,1,blink,8,1634647137153,1,1,XYTC,770.99929690361,413.256579637527,1634647137135,1,,
block_1,1,298508,326219,1,blink,8,1634647137202,1,1,XYTC,704.254684746265,384.89930704236,1634647137168,1,,
block_1,1,298508,326219,1,blink,8,1634647137277,1,1,XYTC,765.903936624527,456.233700597659,1634647137235,0.974838324163551,,
block_1,1,298508,326219,1,blink,8,1634647137319,1,1,XYTC,790.051617622376,427.569105103612,1634647137301,0.975088373876263,,
block_1,1,298508,326219,1,blink,8,1634647137346,1,1,XYTC,761.3541457057,414.147599413991,1634647137334,1,,
block_1,1,298508,326219,1,blink,8,1634647137388,1,1,XYTC,747.522514164448,412.518019974232,1634647137367,1,,
block_1,1,298508,326219,1,blink,8,1634647137424,1,1,XYTC,737.291219830513,400.296836346388,1634647137401,1,,
block_1,1,298508,326219,1,blink,8,1634647137467,1,1,XYTC,713.717770278454,474.206383153796,1634647137434,0.956049836798243,,
block_1,1,298508,326219,1,blink,8,1634647137497,1,1,XYTC,709.24418091774,440.937030315399,1634647137471,0.956484557153223,,
block_1,1,298508,326219,1,blink,8,1634647137520,1,1,XYTC,758.716633021832,453.052245941944,1634647137505,0.944666233212448,,
block_1,1,298508,326219,1,blink,8,1634647137582,1,1,XYTC,710.281965136528,409.658443182707,1634647137549,0.945211991813154,,
block_1,1,298508,326219,1,blink,8,1634647137601,1,1,XYTC,725.006564408541,474.98991843313,1634647137586,0.945752441605838,,
